         73528744 function calls (68824215 primitive calls) in 208.417 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    37361    0.182    0.000    0.349    0.000 base_events.py:691(_call_soon)
   145022    0.181    0.000    0.181    0.000 {method 'decode' of 'bytes' objects}
   191252    0.178    0.000    0.508    0.000 copy.py:273(<genexpr>)
    12862    0.178    0.000    2.693    0.000 parser.py:83(parse_iso)
   336882    0.174    0.000    0.174    0.000 {built-in method time.monotonic}
   135635    0.174    0.000    0.270    0.000 tasks.py:27(current_task)
    77172    0.169    0.000    0.737    0.000 parser.py:303(_choice_re)
   135622    0.167    0.000    1.326    0.000 __init__.py:41(__exit__)
    18697    0.165    0.000    1.138    0.000 gzip.py:438(read)
      514    0.163    0.000    0.163    0.000 {method 'read' of '_io.FileIO' objects}
   135645    0.160    0.000    0.160    0.000 {built-in method math.ceil}
   143669    0.154    0.000    0.154    0.000 {method 'startswith' of 'str' objects}
     3712    0.149    0.000    0.149    0.000 binance.py:89(<listcomp>)
   135607    0.147    0.000    3.333    0.000 __init__.py:38(__enter__)
     7317    0.147    0.000    8.438    0.001 huobi.py:33(dispatch_ws_msg)
    25754    0.144    0.000    0.208    0.000 base_events.py:1644(_add_callback)
   309139    0.143    0.000    0.143    0.000 base_events.py:459(_check_closed)
     3712    0.142    0.000    0.383    0.000 binance.py:45(_handle_ticker)
   271812    0.142    0.000    0.142    0.000 {built-in method _contextvars.copy_context}
    25002    0.139    0.000    0.139    0.000 {method 'write' of '_ssl.MemoryBIO' objects}
    63505    0.138    0.000    2.188    0.000 ssl.py:698(read)
    11282    0.138    0.000    0.207    0.000 {built-in method builtins.sorted}
     3711    0.138    0.000    0.138    0.000 binance.py:96(<listcomp>)
    12862    0.136    0.000    0.173    0.000 parser.py:249(_build_datetime)
   139822    0.134    0.000    0.134    0.000 {built-in method __new__ of type object at 0x10e8c5f70}
     5272    0.131    0.000    0.131    0.000 huobi.py:61(<listcomp>)
    58729    0.129    0.000    0.355    0.000 queues.py:150(get)
