         466104169 function calls (439067109 primitive calls) in 1497.898 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   291279    1.124    0.000    6.868    0.000 queues.py:31(put)
  1070649    1.117    0.000    8.602    0.000 __init__.py:41(__exit__)
   119591    1.090    0.000    1.313    0.000 parser.py:249(_build_datetime)
        2    1.066    0.533 1499.390  749.695 base_events.py:506(run_forever)
   494565    1.065    0.000   16.877    0.000 ssl.py:698(read)
  1070659    1.056    0.000    1.469    0.000 tasks.py:27(current_task)
   207496    1.050    0.000    1.050    0.000 {method 'write' of '_ssl.MemoryBIO' objects}
   441582    1.045    0.000    2.750    0.000 queues.py:150(get)
   179700    1.044    0.000    5.940    0.000 mongo.py:23(fetch_n_items)
   441582    1.034    0.000    4.767    0.000 queues.py:39(get_async)
    62224    0.992    0.000   57.557    0.001 huobi.py:33(dispatch_ws_msg)
   291279    0.989    0.000    1.348    0.000 __init__.py:79(build_item)
   399345    0.986    0.000    3.979    0.000 base_events.py:662(call_soon)
  2142436    0.959    0.000    0.959    0.000 {built-in method _contextvars.copy_context}
  1070639    0.956    0.000   22.011    0.000 __init__.py:38(__enter__)
   119591    0.949    0.000    0.949    0.000 util.py:24(is_timestamp)
   287085    0.936    0.000   41.512    0.000 client_proto.py:173(data_received)
  1102961    0.936    0.000    0.936    0.000 {built-in method __new__ of type object at 0x103d3df70}
   119618    0.898    0.000    1.712    0.000 arrow.py:136(fromdatetime)
  2542313    0.885    0.000    0.885    0.000 base_events.py:459(_check_closed)
    27910    0.865    0.000    0.865    0.000 binance.py:89(<listcomp>)
  2973866    0.857    0.000    0.857    0.000 dataclasses.py:978(<genexpr>)
  4475862    0.856    0.000    0.856    0.000 {method 'items' of 'dict' objects}
    50859    0.851    0.000   20.918    0.000 bitmex.py:86(_handle_orderbook10)
   689222    0.845    0.000    1.157    0.000 types.py:164(__get__)
    62224    0.837    0.000    2.210    0.000 gzip.py:123(__init__)
  3815673    0.819    0.000    0.819    0.000 {method 'end' of 're.Match' objects}
    27910    0.809    0.000    0.809    0.000 binance.py:96(<listcomp>)
    76886    0.808    0.000   11.621    0.000 binance.py:32(dispatch_ws_msg)
   628940    0.805    0.000    0.805    0.000 {built-in method builtins.max}
731483/731403    0.804    0.000    0.812    0.000 {method 'join' of 'str' objects}
    62224    0.792    0.000   28.851    0.000 huobi.py:122(handle_ws_ping)
  1800767    0.790    0.000    0.790    0.000 {method 'group' of 're.Match' objects}
  1070626    0.785    0.000    0.785    0.000 {method 'clear' of 'bytearray' objects}
   663330    0.765    0.000    0.765    0.000 {method '__reduce_ex__' of 'datetime.datetime' objects}
   369639    0.763    0.000  442.847    0.001 base_py3.py:12(run_coroutine_job)
    61852    0.757    0.000   21.653    0.000 __init__.py:71(_log_msg)
   287074    0.727    0.000   40.575    0.000 http_websocket.py:264(feed_data)
    38802    0.718    0.000    0.718    0.000 huobi.py:54(<listcomp>)
